Month,Top10_Share_%,Rest_Share_%
2024-04-01,87.37097720904472,12.629022790955311
2024-05-01,87.49465814031426,12.505341859685743
2024-06-01,87.53084336220672,12.469156637793223
2024-07-01,86.85835268150217,13.141647318497837
2024-08-01,86.83994426509707,13.16005573490289
2024-09-01,86.86085451884102,13.139145481158982
2024-10-01,86.89045816156873,13.109541838431266
2024-11-01,86.87283070353531,13.127169296464672
2024-12-01,87.2867714646064,12.7132285353936
2025-01-01,87.28017000276456,12.719829997235435
2025-02-01,87.26568746823375,12.734312531766268
2025-03-01,87.28675848974754,12.713241510252448
2025-04-01,87.30394589419406,12.696054105805949
2025-05-01,87.2981716093754,12.701828390624584
2025-06-01,87.38336284899513,12.616637151004873
2025-07-01,87.375230163012,12.624769836987998
2025-08-01,87.35804155440128,12.641958445598728
2025-09-01,87.42537790907534,12.57462209092467
2025-10-01,87.52658552505467,12.4734144749453
