date,UPI_Vol,UPI_SHARE,upi_zscore,upi_share_zscore,system_anomaly_flag,anomaly_run_length
2020-06-01,476.9671,0.4686313940591952,,,False,0
2020-06-02,476.78182,0.4576463800518772,,,False,0
2020-06-03,456.2593,0.5159336455347682,,,False,0
2020-06-04,463.04959,0.40736725274642144,,,False,0
2020-06-05,464.79398,0.4662181458946272,,,False,0
2020-06-06,458.64927,0.5188335404353306,,,False,0
2020-06-07,427.25912,0.6692506107006636,,,False,0
2020-06-08,469.99287,0.445325025400493,,,False,0
2020-06-09,466.98338,0.4575752888791774,,,False,0
2020-06-10,461.58058,0.47057194401153096,,,False,0
2020-06-11,449.65,0.4606334640822784,,,False,0
2020-06-12,453.42912,0.512643690428501,,,False,0
2020-06-13,289.00253,0.5501504686431922,,,False,0
2020-06-14,435.87,0.6796633671175317,,,False,0
2020-06-15,463.91469,0.46280553026616417,,,False,0
2020-06-16,469.24346,0.4621331441428582,,,False,0
2020-06-17,446.58304,0.5239770798136452,,,False,0
2020-06-18,433.31743,0.4810083069335186,,,False,0
2020-06-19,440.29209,0.5067609314946585,,,False,0
2020-06-20,437.74652,0.5280790264874119,,,False,0
2020-06-21,356.52732,0.6845270701838768,,,False,0
2020-06-22,459.5468,0.46124565075595125,,,False,0
2020-06-23,452.99435,0.4998702197134678,,,False,0
2020-06-24,477.54,0.5345511227448548,,,False,0
2020-06-25,456.49271,0.472778075597624,,,False,0
2020-06-26,455.45,0.5395702544757617,,,False,0
2020-06-27,436.26,0.6549529091020214,,,False,0
2020-06-28,397.91,0.6919701808866153,,,False,0
2020-06-29,430.17,0.4045073955258587,,,False,0
2020-06-30,505.09,0.4730112386736102,1.4934531344817146,-0.5222001698005405,False,0
2020-07-01,515.18,0.46129218382845416,1.6480546296696323,-0.6622572451272628,False,0
2020-07-02,481.96,0.47577632088417876,0.8390248851214648,-0.4939032819342944,False,0
2020-07-03,507.41,0.5072341368524118,1.3639673608376135,-0.1017757565961541,False,0
2020-07-04,498.77,0.48337813798442136,1.1120650688514944,-0.440394307106864,False,0
2020-07-05,432.52,0.703147867760015,-0.373484630319833,2.0875181295420924,False,0
2020-07-06,503.34,0.4768830302110715,1.1771021968005373,-0.5578815208552914,False,0
2020-07-07,496.02,0.49382366984599296,0.9521791716033876,-0.30660232190616526,False,0
2020-07-08,509.11,0.5226218067020768,1.1836005916112706,0.01733563787198392,False,0
2020-07-09,485.14,0.4914923817566425,0.6517450064958549,-0.3902368231149282,False,0
2020-07-10,451.5,0.4741227678688628,-0.05905202493312181,-0.611861966689,False,0
2020-07-11,500.95,0.6805156780583094,0.9449099476790258,1.8113643245758495,False,0
2020-07-12,434.05,0.7287323440224431,-0.445533444514409,2.1142526714725824,False,0
2020-07-13,518.52,0.500475737650101,1.4819795938122091,-0.3838819094140933,False,0
2020-07-14,519.6,0.49186022911239485,1.3984335369487673,-0.42816278367468286,False,0
2020-07-15,499.18,0.5089483681780497,0.8271460544239752,-0.251733401873546,False,0
2020-07-16,479.81,0.5195916458638513,0.32047428589063515,-0.15211393836107318,False,0
2020-07-17,472.6,0.5323720147149157,0.114115335125233,-0.005452771754698126,False,0
2020-07-18,462.3,0.5644710424035335,-0.17834940019635,0.34012126215438043,False,0
2020-07-19,410.87,0.7255837671686863,-1.4525873772534206,1.998268081101262,False,0
2020-07-20,461.25,0.5316229500676672,-0.1968537839403504,-0.12481863114837505,False,0
2020-07-21,437.49,0.5171785399171127,-1.022510997154865,-0.23174057280231558,False,0
2020-07-22,496.81,0.5399358654308674,0.7118994877866097,-0.0016207763731071693,False,0
2020-07-23,470.34,0.565891729634464,-0.09320604889881978,0.2743560004049985,False,0
2020-07-24,483.32,0.557712635991064,0.2891284802253849,0.17030033933879773,False,0
2020-07-25,466.6,0.6956429434433042,-0.22155982969290644,1.6240088054136301,False,0
2020-07-26,414.17,0.730668411553477,-1.6728849508621269,1.8257949013355015,False,0
2020-07-27,501.87,0.4943879525023475,0.7818166557870653,-0.6075017506599591,False,0
2020-07-28,497.54,0.4801059463766414,0.6136612683122723,-0.7069200637257651,False,0
2020-07-29,488.78,0.5345660762298793,0.28676733626102063,-0.16302732648053575,False,0
2020-07-30,525.93,0.5478300085972843,1.4479223445534721,-0.039939617398997505,False,0
2020-07-31,550.61,0.4961174647863238,2.071291419195803,-0.6631483241154834,False,0
2020-08-01,554.43,0.6468085185812351,1.9630154726256768,1.0393898035724654,False,0
2020-08-02,501.86,0.7044863904532367,0.49694803949983685,1.5742475626635017,False,0
2020-08-03,508.98,0.42623064846239117,0.6837647488376762,-1.49770643629998,False,0
2020-08-04,526.55,0.4980720105900958,1.105740897745163,-0.6583548373935008,False,0
2020-08-05,492.26,0.4696652770963119,0.14197577150751436,-0.9761034700640479,False,0
2020-08-06,459.74,0.4585558848951118,-0.7442738642399995,-1.0755789719486284,False,0
2020-08-07,504.21,0.4707493305889622,0.518736489822116,-0.9080200515521984,False,0
2020-08-08,538.93,0.681338553831517,1.400332368821813,1.3202629954105984,False,0
2020-08-09,440.12,0.29251590623364476,-1.2747876933689914,-2.5154425784979697,False,0
2020-08-10,511.87,0.4201371221126695,0.6497602732110589,-1.2012468554732492,False,0
2020-08-11,578.27,0.5470895243174516,2.182161087899086,0.08965982280968576,False,0
2020-08-12,558.47,0.5609883101837133,1.581872013656364,0.21201049050645404,False,0
2020-08-13,539.19,0.5224463620911314,1.0788347944982546,-0.19553908050516872,False,0
2020-08-14,539.34,0.5121553181129872,1.0303151554371155,-0.302976383544106,False,0
