Month,HHI
2024-04-01,2392.551414406912
2024-05-01,2409.8321055988285
2024-06-01,2422.4334334892656
2024-07-01,2583.4992519841867
2024-08-01,2598.3234791872555
2024-09-01,2611.843462553406
2024-10-01,2613.1178684962097
2024-11-01,2613.988831845758
2024-12-01,2483.6326398083024
2025-01-01,2493.63197712968
2025-02-01,2490.1749695746744
2025-03-01,2510.256492024969
2025-04-01,2518.6184871199616
2025-05-01,2520.6563417896077
2025-06-01,2534.422293142125
2025-07-01,2546.4372027336103
2025-08-01,2552.8505941917915
2025-09-01,2573.2389435423397
2025-10-01,2586.9089565258714
