Month,TOTAL_VOL_LAKH,TOTAL_VAL_CRORE,BANK_COUNT,AVG_TICKET_SIZE_INR,VOL_GROWTH_%,VAL_GROWTH_%,BANK_GROWTH_%
2024-04-01,570048.57305,13267076.214002179,2452,2327.3589025962706,,,
2024-05-01,599317.82906,13433305.510985475,2448,2241.432652196405,5.134519652140712,1.252945971681818,-0.16313213703099683
2024-06-01,591350.9,12943091.700000001,2417,2188.732899535623,-1.3293328971200058,-3.649241883053933,-1.2663398692810413
2024-07-01,587523.2999999999,13446998.07,2400,2288.7599640729145,-0.6472637481400811,3.8932457690924016,-0.7033512618949134
2024-08-01,607102.52,13290057.25,2401,2189.09604427272,3.3325010259167787,-1.167106734031087,0.04166666666667318
2024-09-01,608651.53,13141433.44,2402,2159.1062853321014,0.2551480102569892,-1.1183082751581086,0.04164931278634043
2024-10-01,670631.98,14953524.75,2414,2229.766130449073,10.183240646745762,13.789144983867164,0.4995836802664355
2024-11-01,626151.8237,13495445.885658337,2419,2155.2993019987175,-6.632573099183259,-9.750736958131977,0.20712510356255542
2024-12-01,702578.1497699999,14658381.227877041,2443,2086.370211296166,12.205718034707358,8.617242824518744,0.9921455146754798
2025-01-01,712042.3030000001,14851024.563647784,2461,2085.6941365810653,1.3470605701441762,1.3142197134590639,0.7367990176013084
2025-02-01,675416.9748500002,13774204.062730419,2468,2039.3630269345035,-5.143701153104074,-7.250816240336699,0.2844372206420198
2025-03-01,764162.917,15887617.54760023,2482,2079.0877434844474,13.139430226743842,15.343271199155417,0.5672609400324102
2025-04-01,746257.91321,15240510.356646854,2459,2042.2577887436232,-2.3430872385554413,-4.073028501690734,-0.9266720386784888
2025-05-01,778519.6833,15653718.604378572,2470,2010.702997003926,4.323139429266121,2.711249413977157,0.44733631557543063
2025-06-01,764883.93369,14853911.054521034,2477,1941.9823584033052,-1.7514970915315398,-5.109377331171783,0.2834008097166052
2025-07-01,807474.50311,15628321.864165459,2485,1935.4570087318853,5.568239512435835,5.2135145201958055,0.32297133629390906
2025-08-01,828688.66751,15138129.423324265,2481,1826.757142560006,2.62722405701894,-3.136564789884244,-0.16096579476860828
2025-09-01,809857.7144,15253026.90234593,2490,1883.4205850155358,-2.272379706432126,0.7589939008226132,0.36275695284160303
2025-10-01,851487.09508,16440668.70642946,2349,1930.8183061640887,5.140332670763281,7.786269647900967,-5.662650602409636
