Month,Top3_Share_%,Top10_Share_%
2024-04-01,69.75124395849062,87.37097720904472
2024-05-01,69.92548145569096,87.49465814031426
2024-06-01,69.98142388892953,87.53084336220672
2024-07-01,68.64915995672001,86.85835268150217
2024-08-01,68.69430224074839,86.83994426509707
2024-09-01,68.75008923414684,86.86085451884102
2024-10-01,68.62703744011732,86.89045816156873
2024-11-01,68.70900738222987,86.87283070353531
2024-12-01,69.93445724590913,87.2867714646064
2025-01-01,69.96996269194979,87.28017000276456
2025-02-01,70.01312656896424,87.26568746823375
2025-03-01,70.10736913840586,87.28675848974754
2025-04-01,70.28708046307808,87.30394589419406
2025-05-01,70.26877868150106,87.2981716093754
2025-06-01,70.45989883720394,87.38336284899513
2025-07-01,70.51073095894871,87.375230163012
2025-08-01,70.53821316591689,87.35804155440128
2025-09-01,70.53027440791642,87.42537790907534
2025-10-01,70.55146846512791,87.52658552505467
