Month,Top5_Combined_Vol_Lakh,Top5_Share_%
2024-04-01,161319.63322999998,57.943453794289255
2024-05-01,169687.9061,58.04098567360679
2024-06-01,167690.91,58.127782537481444
2024-07-01,147648.93,53.935869366487296
2024-08-01,152986.57000000004,54.09566664865678
2024-09-01,153484.08,54.13228410440749
2024-10-01,168300.01999999996,53.89505056158922
2024-11-01,157656.17829,54.015495250708526
2024-12-01,196633.67137,57.535831929539164
2025-01-01,198529.25655999995,57.40047379986278
2025-02-01,188596.37272,57.445251380174035
2025-03-01,213818.85664,57.638915174927284
2025-04-01,209638.80654999998,57.87387800720336
2025-05-01,218322.50301,57.79918703194846
2025-06-01,215247.00282999998,58.03928821951073
2025-07-01,227641.72272000002,58.18268318143601
2025-08-01,234156.20981,58.351274379791896
2025-09-01,229246.02555,58.42046779243434
2025-10-01,241957.02055000002,58.707554541031406
